Value,Disaggregation combinations using this value,Number of indicators
Active transportation,156,1
"Car, truck or van",156,1
Driver (only worker in vehicle),156,1
Other method,156,1
Passenger (only worker in vehicle),156,1
Public transit,156,1
Sustainable transportation,156,1
Total - Main mode of commuting,156,1
