Value,Disaggregation combinations using this value,Number of indicators
Asphodel-Norwood,17,1
Cavan Monaghan,22,1
Curve Lake First Nation,8,1
Douro-Dummer,21,1
Havelock-Belmont-Methuen,20,1
Hiawatha First Nation,3,1
North Kawartha,11,1
Otonabee-South Monaghan,22,1
Peterborough,50,1
Selwyn,29,1
Trent Lakes,21,1
