Value,Disaggregation combinations using this value,Number of indicators
0 to 17 years,39,1
15 to 24 years,429,2
18 to 24 years,39,1
25 to 34 years,117,1
25 to 54 years,39,1
25 to 64 years,312,1
35 to 44 years,117,1
45 to 54 years,117,1
55 to 64 years,156,2
65 years and over,468,3
Total (all ages),468,3
