Year,Geography,Value
2019,Cavan Monaghan,0.5
2019,Curve Lake First Nation,0.0
2019,Douro-Dummer,0.0
2019,Hiawatha First Nation,0.0
2019,Otonabee-South Monaghan,0.0
2019,Peterborough (City),87.8
2019,Selwyn,0.3
